#Agent	Tech	Prop	age
668	0	77878	4
669	0	71347	4
670	0	109778	4
671	0	44593	4
672	0	167548	4
673	0	53656	4
674	0	24848	4
674	122	32475	3
675	0	39258	4
676	0	21456	4
676	122	46337	3
677	0	187228	4
678	0	69945	4
679	0	125261	4
680	0	178299	4
681	0	60812	4
682	0	51292	4
683	0	75630	4
683	89	123205	1
684	0	130676	4
685	0	9122	4
685	110	101426	0
686	0	2567	4
687	0	20599	4
687	111	58025	2
688	0	115476	4
689	0	66589	4
689	100	73942	2
690	0	195185	4
691	0	26094	4
692	0	14493	4
693	0	78409	4
694	0	31615	4
695	0	81394	4
695	121	47856	0
696	0	162719	4
697	0	94448	4
698	0	161679	4
699	0	31617	4
700	0	53258	4
701	0	46968	4
701	100	60575	3
702	0	90774	4
703	0	116103	4
704	0	116162	4
705	0	99528	4
706	0	83957	4
707	0	194212	4
708	0	70417	4
709	0	116836	4
710	0	83381	4
711	0	106681	4
712	0	99734	4
712	100	36380	0
713	0	60566	4
713	122	9808	2
714	0	51178	4
715	0	27658	4
716	0	107546	4
716	67	58412	2
717	0	73152	4
717	99	45340	0
718	0	145787	4
719	0	156087	4
720	0	184069	4
721	0	9434	4
721	121	56411	2
722	0	47989	4
722	67	27273	3
723	0	94320	4
724	0	6516	4
725	0	159069	4
726	0	168735	4
727	0	139421	4
728	0	195488	4
729	0	28106	4
730	0	107470	4
731	0	91568	4
732	0	74956	4
733	0	107543	4
734	0	193913	4
735	0	39278	4
736	0	84083	4
736	89	109802	1
737	0	29116	4
738	0	109964	4
738	122	50055	3
739	0	119644	4
740	0	185048	4
741	0	46459	4
742	0	90966	4
743	0	108233	4
744	0	63652	4
744	111	128392	1
745	0	4917	4
746	0	169252	4
747	0	107030	4
748	0	124317	4
749	0	63578	4
750	0	198255	4
751	0	157316	4
752	0	129170	4
752	121	51909	1
753	0	93427	4
754	0	87254	4
755	0	70201	4
756	0	193305	4
757	0	2758	4
757	67	700	2
758	0	88447	4
758	67	48896	3
759	0	73854	4
760	0	97553	4
760	78	26612	2
761	0	80958	4
761	89	339	0
762	0	25239	4
762	89	27151	2
763	0	157940	4
764	0	109989	4
764	89	37639	1
765	0	54973	4
766	0	37631	4
767	0	57363	4
768	0	96931	4
768	109	19404	0
769	0	138365	4
770	0	26221	4
771	0	33273	4
772	0	136507	4
773	0	21912	4
773	89	13956	1
774	0	175788	4
775	0	100793	4
776	0	103581	4
777	0	102152	4
777	99	35337	2
778	0	127267	4
779	0	25509	4
780	0	189317	4
781	0	136931	4
782	0	7161	4
783	0	89184	4
784	0	91711	4
785	0	126148	4
786	0	180439	4
787	0	184503	4
788	0	196278	4
789	0	157329	4
790	0	46786	4
791	0	40447	4
792	0	65425	4
793	0	149013	4
794	0	42619	4
794	121	112529	1
795	0	63517	4
795	121	76581	0
796	0	195175	4
797	0	196207	4
798	0	28792	4
799	0	166022	4
800	0	82720	4
801	0	192266	4
802	0	195360	4
803	0	167309	4
804	0	100750	4
805	0	171699	4
806	0	107362	4
807	0	77578	4
808	0	128359	4
809	0	78976	4
810	0	22585	4
810	67	27011	3
811	0	59183	4
812	0	159204	4
813	0	38970	4
813	111	9834	1
814	0	3897	4
814	122	2910	3
815	0	13335	4
815	100	34555	0
816	0	18641	4
817	0	100912	4
818	0	127744	4
819	0	112457	4
820	0	13782	4
820	111	92380	3
821	0	138530	4
822	0	41050	4
822	122	61678	2
823	0	9342	4
823	100	53741	0
824	0	21674	4
825	0	20472	4
826	0	56558	4
826	109	57345	3
827	0	2696	4
827	111	32857	2
828	0	46528	4
828	67	82099	0
829	0	13707	4
830	0	195939	4
831	0	9222	4
832	0	112033	4
833	0	176058	4
834	0	65978	4
835	0	153166	4
836	0	18487	4
836	110	71513	1
837	0	69617	4
838	0	68830	4
839	0	97209	4
840	0	86933	4
841	0	154271	4
842	0	131027	4
843	0	74389	4
844	0	60379	4
845	0	181102	4
846	0	80412	4
847	0	185260	4
848	0	99804	4
849	0	102750	4
850	0	29188	4
850	111	3929	0
851	0	63713	4
851	121	100153	2
852	0	10728	4
853	0	13060	4
853	78	37833	3
854	0	93624	4
855	0	46942	4
856	0	136395	4
856	100	14368	0
857	0	63724	4
858	0	24183	4
858	122	171720	3
859	0	9889	4
859	100	100448	0
860	0	10777	4
860	111	18147	3
861	0	167226	4
862	0	83128	4
863	0	102961	4
863	89	23450	3
864	0	161579	4
865	0	48404	4
866	0	118950	4
867	0	159773	4
868	0	72469	4
868	111	80926	1
869	0	190675	4
870	0	139896	4
871	0	151848	4
872	0	107624	4
873	0	146190	4
874	0	180968	4
875	0	93947	4
876	0	72513	4
877	0	142901	4
878	0	82071	4
879	0	16750	4
879	111	97306	3
880	0	196132	4
881	0	83190	4
882	0	169952	4
883	0	117508	4
883	99	64299	1
884	0	47194	4
885	0	38149	4
885	89	106195	1
886	0	99431	4
887	0	147208	4
888	0	118592	4
889	0	163685	4
890	0	146841	4
891	0	102828	4
892	0	136832	4
893	0	176006	4
894	0	198055	4
895	0	117456	4
896	0	20575	4
897	0	167822	4
898	0	131504	4
898	67	28571	0
899	0	177425	4
900	0	132743	4
901	0	134483	4
902	0	132197	4
902	67	19697	1
903	0	23134	4
903	100	7676	3
904	0	82392	4
905	0	73123	4
906	0	24181	4
907	0	77612	4
908	0	154829	4
908	122	10933	1
909	0	41010	4
910	0	155475	4
911	0	185212	4
912	0	68755	4
913	0	104828	4
914	0	176607	4
914	89	9297	3
915	0	102681	4
916	0	82782	4
916	110	46491	1
917	0	49547	4
917	110	69974	2
918	0	145435	4
918	88	33928	0
919	0	82519	4
920	0	5644	4
921	0	106616	4
921	34	11847	0
922	0	12857	4
922	56	1553	2
923	0	23037	4
924	0	152161	4
925	0	2387	4
926	0	30597	4
927	0	20741	4
928	0	56078	4
928	66	375	2
929	0	14317	4
930	0	167813	4
931	0	20799	4
932	0	62547	4
933	0	131650	4
934	0	111226	4
935	0	29599	4
936	0	172372	4
937	0	102395	4
938	0	1148	4
938	121	5411	3
939	0	64636	4
940	0	77499	4
941	0	139420	4
942	0	51957	4
943	0	117817	4
944	0	182920	4
945	0	171484	4
946	0	9542	4
947	0	148120	4
948	0	11044	4
948	99	54709	3
949	0	93707	4
950	0	183389	4
951	0	80280	4
952	0	46900	4
953	0	16348	4
954	0	162387	4
955	0	169444	4
956	0	94556	4
957	0	102966	4
958	0	103379	4
959	0	66945	4
959	122	88440	1
960	0	63368	4
960	111	85243	0
961	0	42369	4
962	0	117049	4
962	67	17630	3
963	0	173646	4
964	0	68856	4
964	89	56292	3
965	0	138889	4
966	0	155468	4
967	0	22237	4
968	0	108630	4
969	0	120622	4
970	0	141311	4
971	0	10236	4
972	0	90122	4
973	0	5412	4
973	78	28202	3
974	0	70772	4
975	0	118407	4
976	0	38636	4
977	0	42498	4
977	78	8071	2
978	0	151051	4
978	121	22265	2
979	0	61936	4
980	0	165113	4
981	0	55678	4
982	0	43996	4
983	0	93066	4
984	0	154370	4
985	0	27934	4
986	0	52834	4
987	0	190439	4
988	0	197436	4
989	0	167736	4
990	0	77287	4
991	0	180465	4
992	0	67265	4
992	78	4115	3
993	0	4793	4
994	0	134601	4
995	0	50902	4
996	0	92396	4
997	0	20867	4
998	0	25519	4
999	0	113808	4
